sac train | train | env_step=1524/2024 | update=465 critic=0.002 actor=-3.439 alpha_loss=-20.642 alpha=0.174 q=2.596 entropy=4.804 replay=1524 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1539/2024 | update=470 critic=0.013 actor=-3.325 alpha_loss=-20.637 alpha=0.174 q=2.521 entropy=4.792 replay=1539 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=1548/2024 | replay=1548
sac train | train | env_step=1554/2024 | update=475 critic=0.017 actor=-3.445 alpha_loss=-20.723 alpha=0.173 q=2.708 entropy=4.831 replay=1554 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1569/2024 | update=480 critic=0.011 actor=-3.527 alpha_loss=-20.561 alpha=0.173 q=2.691 entropy=4.728 replay=1569 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1584/2024 | update=485 critic=0.012 actor=-3.472 alpha_loss=-20.637 alpha=0.173 q=2.581 entropy=4.761 replay=1584 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1599/2024 | update=490 critic=0.020 actor=-3.424 alpha_loss=-20.669 alpha=0.173 q=2.568 entropy=4.769 replay=1599 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1614/2024 | update=495 critic=0.017 actor=-3.648 alpha_loss=-20.974 alpha=0.172 q=2.817 entropy=4.933 replay=1614 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1629/2024 | update=500 critic=0.005 actor=-3.545 alpha_loss=-20.835 alpha=0.172 q=2.666 entropy=4.843 replay=1629 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1644/2024 | update=505 critic=0.014 actor=-3.519 alpha_loss=-20.537 alpha=0.172 q=2.667 entropy=4.664 replay=1644 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=1659/2024 | update=510 critic=0.003 actor=-3.516 alpha_loss=-20.679 alpha=0.172 q=2.753 entropy=4.735 replay=1659 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
